,6C6TWB,1T99I1,7826TT,PV5TGL,K90XN4,0UOVDZ,EA5ZR5,YSGOCV,2824TN,9U0832
2010-01-01,54.970609260418755,21.064527804916423,27.931301352532437,21.00340190123309,13.788182717927057,33.14818358832222,23.274351793769345,27.34988606199687,47.46935345976565,20.230824025609323
2010-02-01,43.874391922784476,17.059016191226043,21.947651974885023,22.807753062654147,17.204499956226584,31.810269744740474,14.147802938304551,31.661916853136823,40.080344739247295,16.97071817548326
2010-03-01,44.94570009639744,22.21220315472356,15.291172299414917,17.630458909743307,19.09816579208425,33.1606460462263,17.7403525330368,22.838439174881117,43.509392186528956,21.295323703298024
2010-04-01,47.38326631456919,20.63853075010099,15.431526238987665,24.7390108641297,17.50663688612397,29.56498532778163,13.65270685978672,19.146007383598572,43.29829224666024,18.781411467226356
2010-05-01,45.1792218831466,18.987912376711787,25.581627788061503,19.61118101917717,7.231083706513271,31.11169809717707,13.314564180151422,21.993671784078995,44.150681854274374,15.670561219649453
2010-06-01,53.88280245518478,19.38618507287626,26.46048194408989,20.4997169175773,10.517167188612284,22.17465490445337,12.549763819131126,21.095275511298063,37.12114159845008,19.10011752024665
2010-07-01,45.22615279155744,24.630790891005987,27.17401270118659,11.866376808052992,17.439855352660974,33.71247475705225,21.33299559946484,25.868807913838765,52.347123584998926,17.045164315157304
2010-08-01,42.195203361228934,24.097543408123894,20.425269947772072,16.307510967918198,14.333307967043872,28.29077352898094,14.380620682459952,19.84153636876705,42.43444250065929,14.951586766786885
2010-09-01,40.44442537642513,24.50572599178466,18.427501112100007,15.430130175548047,20.955214855045902,33.447415791930645,11.875008041171132,27.503503281942777,39.29031833999311,19.457273061199682
2010-10-01,45.670479275873674,21.32609808026037,19.9011088329861,19.851240661114037,20.69958033921742,33.18728070956878,14.671275413309885,23.159231805505794,53.30557815237631,23.625533578353867
2010-11-01,51.849967018727064,19.114076830980554,23.771734345389092,15.42917395400214,14.007888945454807,38.97490116090464,13.722385577851362,30.694644356218134,49.27693745551149,16.59943727715227
2010-12-01,43.9085973543207,17.15351284914888,22.48991209777595,25.23768826774482,16.916844895686886,30.685170899485072,14.658481813813847,16.988574609572375,49.80903897245359,21.980895917676037
2011-01-01,61.255905099403385,32.46249340329644,16.62570851369276,26.64685505943278,10.56779529746861,43.67041529575485,17.064881978495368,24.75899567793693,56.77279112537045,24.316450869937068
2011-02-01,56.768564997497286,25.15319260925474,25.970289894277442,24.067313413904664,19.5593697300389,31.055820187107795,22.831322181785456,37.55642460612049,53.70312404230738,18.397931523871137
2011-03-01,53.164217194685726,31.644164912360043,26.554722359926345,31.624051885412506,24.664047087961656,45.5091844361569,19.42617179572745,31.67591763115208,65.03241236348325,25.698823439314776
2011-04-01,54.821727088123176,26.840281497557406,24.11924160544523,27.4133605391607,15.262065036859568,35.34267189721916,18.115189462385178,25.560887264228377,57.99699954928834,21.65132574896226
2011-05-01,60.42940642640254,26.30688453200691,25.27053964817009,22.277181755628945,18.908438067751586,32.96487451766613,20.034037506104646,30.994661624629227,54.43674713066104,23.173406726900208
