,3MDUHD,PUWKGV,H5BH9O,6OYX7Y,CKA3QO,PR0EZA,4E2JPI,JJPOQY,KS9CKS,56XD4Q
2010-01-01,0.026710972419921153,0.44172845656804205,0.9196612112750255,0.0392503730169973,0.23550447910854366,0.408112679258796,0.009697518846603193,0.4419859442847335,0.7181662082768169,0.23808769826757437
2010-02-01,0.20284659281312623,0.5689729715848365,0.17210851559732387,0.39094094573231486,0.9965638772774512,0.5440644136365984,0.923218491283779,0.25216804225830647,0.09289761009182029,0.7375583601524093
2010-03-01,0.09374394998459623,0.1660166922834294,0.20088947073809527,4.1138838931087385e-05,0.436287123211307,0.8457824364915904,0.4654561971751243,0.9950543620770141,0.6095332207827139,0.28043940772264586
2010-04-01,0.2006975039415736,0.1992265229298178,0.3977789892847765,0.818790746915052,0.36904417036082326,0.9367165182906645,0.12278341117449254,0.7898527518903286,0.7171272628455028,0.4658482656697802
2010-05-01,0.16321676475930036,0.8129562043345201,0.13977410171825255,0.891548702989975,0.8643277263680934,0.26551691401558486,0.021434273300823148,0.022872669848390648,0.9633026071685408,0.24699041475107741
2010-06-01,0.8466151103473933,0.9357546400259615,0.3017234032201158,0.22856052733500787,0.2116261766895765,0.8797289980026327,0.05046674590015132,0.9728370512706492,0.5476667507366383,0.0303587220106174
2010-07-01,0.5516062565742864,0.849119726606062,0.13326921646191547,0.7583760934733461,0.32047952616335995,0.054133249359918145,0.4436906385410325,0.24360572642728417,0.7425625109434422,0.2852877822403119
2010-08-01,0.3152148054262651,0.40686337476476053,0.5986991067388646,0.18728082381545907,0.5436855580317095,0.10019452932473416,0.009284284596031922,0.7965348482454766,0.3416230658322067,0.1815286107460209
2010-09-01,0.692089932907546,0.5189001243136967,0.6059738035642647,0.4102587606594038,0.015596781660171977,0.6992614888650617,0.9107518170783782,0.241925858711471,0.02690307956218707,0.5550671247519182
2010-10-01,0.035002936955437214,0.6635034691591429,0.11825650312307256,0.012336921068697215,0.24592533491303248,0.7276648576395736,0.4748404070684564,0.6722525681500298,0.1484579126723149,0.303910958485051
2010-11-01,0.2449168125729302,0.6055768594876448,0.7705381057329201,0.524646424149851,0.5449657006502847,0.8134241613043276,0.46988100020631884,0.23366125666803095,0.727893994394523,0.15348540280667344
2010-12-01,0.7755076803062898,0.9965494762586221,0.7284287135359251,0.13401432544738767,0.5659186711981776,0.802183660807503,0.053222521748758855,0.11973855251157262,0.6742308913009107,0.8653039842224814
2011-01-01,0.9370970352160536,0.542466445688075,0.23338742091425624,0.699015838959329,0.8194856407410576,0.6875513191891262,0.42681139811375557,0.899961108530605,0.6427764186660596,0.5633795550828233
2011-02-01,0.4510542175461353,0.3300738588058766,0.6496465943592249,0.7420691813705456,0.1896498665134363,0.5302502007446654,0.44832897818948536,0.3621133495225951,0.4329157635604166,0.09540905845950631
2011-03-01,0.051446695268677844,0.9971028103536169,0.2604567574985278,0.004995014297149325,0.8104767802710866,0.6832302775147594,0.028438363152427093,0.604911180036136,0.38220445754430155,0.6948488236791829
2011-04-01,0.007582833547795764,0.9249968874953525,0.03296591745807298,0.12050021345978246,0.9837383703709395,0.40137019496828485,0.6404067291268722,0.33476500987967395,0.09698305163100751,0.22748089164661
2011-05-01,0.3777432282283688,0.7563580428485143,0.25542937142234245,0.17925136689615573,0.740283374214246,0.05349106096700773,0.8646442216414757,0.39096204016220915,0.8692055192725713,0.17572991583105702
2011-06-01,0.07363565563903951,0.6302391653448515,0.11320733401266903,0.7144213756750507,0.14485311305440474,0.26986497928942077,0.7897443877656016,0.20377365000059267,0.13958511655429895,0.59385315121273
2011-07-01,0.12968083397034846,0.17288686852234691,0.2969798732021136,0.5949911439930412,0.9268447613451112,0.8994208172314271,0.9685424477388598,0.8652070746201161,0.6473552789411787,0.8675805466796528
2011-08-01,0.17013678931186782,0.4270927469498268,0.11108681907354545,0.9677331200448716,0.3643803241845984,0.616289040422458,0.7690154637965501,0.9607215211976844,0.3491638439685817,0.16747128227586539
2011-09-01,0.8479538978361484,0.20957286895924176,0.852259358105657,0.0793544205140605,0.13649655278659556,0.0355452479223749,0.6842711991593923,0.6036082522223335,0.389657958974451,0.08905269803701865
2011-10-01,0.7398605739235526,0.6000336690242829,0.7527601123455232,0.5550260763121468,0.7274090040959386,0.7214220969555529,0.7323059928701944,0.0035827615963770487,0.8789493721238887,0.8596579183580383
2011-11-01,0.06887761255891445,0.03076684465705637,0.9391816110048294,0.5602596965102008,0.6503518430219515,0.7424756236800681,0.9729250967634722,0.8834604733552139,0.5038808164975923,0.2920663164833164
2011-12-01,0.7685394931152255,0.06288108336401033,0.4546070427078208,0.0003859332328448595,0.896980856697293,0.5699407804917752,0.6652186614079577,0.3200815297424837,0.5524107715757492,0.05457167397746898
2012-01-01,0.06883584339419258,0.8037905551378373,0.20650173759413093,0.5703241665719293,0.16016604209081087,0.1494800443252321,0.4490501088884571,0.75109011154227,0.2962131348136058,0.15663167629597274
2012-02-01,0.4652859169380831,0.9886170957249822,0.013575591400153075,0.2455601575553188,0.6264377659290769,0.2719103998696756,0.2940164590995078,0.19255793962948886,0.7027916057123003,0.03861090751570673
